Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-02-01 00:00:00+05:30,2926.6106469851393,2938.277589057888,2888.544934178069,2895.56494140625,80890,0.0,0.0
2024-02-02 00:00:00+05:30,2919.590473641898,2928.340740045266,2892.005288978612,2901.991455078125,57690,0.0,0.0
2024-02-05 00:00:00+05:30,2930.960907495497,2930.960907495497,2880.1408058285433,2884.243896484375,27159,0.0,0.0
2024-02-06 00:00:00+05:30,2916.5752918854673,2916.5752918854673,2871.39060247068,2901.497314453125,49097,0.0,0.0
2024-02-07 00:00:00+05:30,2918.7503227594807,2966.1593887117224,2903.5733773325715,2947.967041015625,100757,0.0,0.0
2024-02-08 00:00:00+05:30,2975.947510638858,2975.947510638858,2887.457092072188,2896.8994140625,136616,0.0,0.0
2024-02-09 00:00:00+05:30,2900.0634445070864,2925.27579992603,2877.1746772206366,2918.84912109375,71304,0.0,0.0
2024-02-12 00:00:00+05:30,2938.327000213176,2938.327000213176,2887.0617826212115,2923.2490234375,95100,0.0,0.0
2024-02-13 00:00:00+05:30,2926.6600625628002,2947.2254824714028,2912.3731098751414,2937.43701171875,52852,0.0,0.0
2024-02-14 00:00:00+05:30,2935.5089363332195,2948.2633245474008,2902.4857932538207,2942.776123046875,9898,0.0,0.0
2024-02-15 00:00:00+05:30,2948.3623213056476,2989.888551183192,2935.014604559294,2981.68212890625,41694,0.0,0.0
2024-02-16 00:00:00+05:30,3004.472258661627,3004.472258661627,2966.1593668399446,2973.7724609375,53520,0.0,0.0
2024-02-19 00:00:00+05:30,2980.8420197817572,2980.9902311987894,2954.3442805604336,2963.934814453125,13788,0.0,0.0
2024-02-20 00:00:00+05:30,2966.159331385298,2983.9068031074207,2941.4413369570875,2978.3701171875,72731,0.0,0.0
2024-02-21 00:00:00+05:30,2982.52270822568,2990.8773421106066,2951.3285508099702,2966.10986328125,119040,0.0,0.0
2024-02-22 00:00:00+05:30,2947.126586877641,2992.7559097591547,2901.5959911455666,2984.500244140625,90581,0.0,0.0
2024-02-23 00:00:00+05:30,2966.159351813522,2971.053466466681,2931.306979429713,2951.130859375,80877,0.0,0.0
2024-02-26 00:00:00+05:30,2921.6669300941035,2921.6669300941035,2817.8513538978664,2836.043701171875,116079,0.0,0.0
2024-02-27 00:00:00+05:30,2835.500205260679,2837.6258562987077,2818.840179898124,2829.41943359375,114318,0.0,0.0
2024-02-28 00:00:00+05:30,2827.738524189038,2827.738524189038,2756.550701202461,2762.23583984375,174005,0.0,0.0
2024-02-29 00:00:00+05:30,2760.456179771482,2806.5801029800577,2745.67486713285,2793.52880859375,97518,0.0,0.0
2024-03-01 00:00:00+05:30,2794.2702446491103,2814.0446397888145,2783.9876557311277,2800.1533203125,133861,0.0,0.0
2024-03-04 00:00:00+05:30,2832.435127372132,2832.435127372132,2796.099673691732,2799.807373046875,45537,0.0,0.0
2024-03-05 00:00:00+05:30,2799.8070623826416,2799.8070623826416,2773.90265403971,2788.28857421875,99013,0.0,0.0
2024-03-06 00:00:00+05:30,2779.143045513596,2807.9641300828453,2746.465809032307,2795.7041015625,41881,0.0,0.0
2024-03-07 00:00:00+05:30,2795.7042611422444,2861.3551606721035,2794.5670885166064,2837.724853515625,115635,0.0,0.0
2024-03-11 00:00:00+05:30,2867.0399862755485,2867.0399862755485,2822.547599213767,2844.69482421875,29447,0.0,0.0
2024-03-12 00:00:00+05:30,2845.5355964929604,2866.249228113655,2833.720443110082,2843.11328125,70169,0.0,0.0
2024-03-13 00:00:00+05:30,2865.062876933798,2865.062876933798,2805.8878987694347,2825.464599609375,59693,0.0,0.0
2024-03-14 00:00:00+05:30,2824.821835279822,2865.16164971795,2768.8602003746423,2859.92138671875,51319,0.0,0.0
2024-03-15 00:00:00+05:30,2859.9214985822714,2863.3325336063676,2818.6919313031876,2835.45068359375,149032,0.0,0.0
2024-03-18 00:00:00+05:30,2832.682071605219,2832.682071605219,2786.2122435544525,2817.505126953125,105464,0.0,0.0
2024-03-19 00:00:00+05:30,2812.858091177287,2812.858091177287,2770.3926279027173,2783.4931640625,157435,0.0,0.0
2024-03-20 00:00:00+05:30,2783.2462294253482,2803.663196685115,2767.6738926177286,2791.30419921875,70004,0.0,0.0
2024-03-21 00:00:00+05:30,2803.6631398561804,2809.496731374062,2783.5923214869654,2789.6728515625,51311,0.0,0.0
2024-03-22 00:00:00+05:30,2788.1897061774343,2822.5477176276704,2777.3137888838346,2810.188720703125,74738,0.0,0.0
2024-03-26 00:00:00+05:30,2774.693857425018,2810.1888010525263,2774.693857425018,2781.713623046875,123440,0.0,0.0
2024-03-27 00:00:00+05:30,2781.8125884552246,2811.0785491444585,2781.8125884552246,2798.12646484375,71272,0.0,0.0
2024-03-28 00:00:00+05:30,2805.4428820072226,2834.807811096698,2787.201050405174,2813.896484375,41892,0.0,0.0
2024-04-01 00:00:00+05:30,2823.4870077972946,2853.2475695226176,2819.878277180103,2838.9111328125,14218,0.0,0.0
2024-04-02 00:00:00+05:30,2844.9916680532406,2859.3281047895152,2823.8331614247145,2840.9873046875,43852,0.0,0.0
2024-04-03 00:00:00+05:30,2821.0645425801326,2851.8630653197406,2814.9345285902245,2837.37841796875,24155,0.0,0.0
2024-04-04 00:00:00+05:30,2841.234517408836,2909.1597598384733,2819.8288305896367,2886.270751953125,122510,0.0,0.0
2024-04-05 00:00:00+05:30,2891.2142662440865,2894.1309412510163,2848.204956798193,2852.1103515625,104488,0.0,0.0
2024-04-08 00:00:00+05:30,2878.113824211217,2878.113824211217,2841.728887664563,2861.256103515625,67676,0.0,0.0
2024-04-09 00:00:00+05:30,2861.25592111188,2883.057239367284,2813.896342748186,2825.118408203125,78479,0.0,0.0
2024-04-10 00:00:00+05:30,2853.4452303432704,2866.2985872367085,2825.3162014191935,2863.431396484375,52471,0.0,0.0
2024-04-12 00:00:00+05:30,2862.7391106536334,2862.7391106536334,2812.9077310587854,2823.4375,85454,0.0,0.0
2024-04-15 00:00:00+05:30,2766.437887760137,2820.4220831967536,2766.437887760137,2811.47412109375,102680,0.0,0.0
2024-04-16 00:00:00+05:30,2806.1349751806965,2808.3595947079957,2787.497751972878,2798.620849609375,99706,0.0,0.0
2024-04-18 00:00:00+05:30,2813.5503683338393,2825.761154271028,2769.503094885169,2782.9990234375,113494,0.0,0.0
